Number_of_Video,Text,Annotation,Textual_Sentiment_Analysis,Audio_Sentiment_Analysis,Video_Sentiment_Analysis,Start_Frame,End_Frame
471,"Freilich liebt er mich nicht mehr. Das ist ausgemacht und an die Stelle der Liebe trat in seiner Seele etwas anderes, das ist natürlich aber warum denn eben Verachtung es braucht ja nur Gleichgültigkeit zu sein, nicht wahr, Marinelli allerdings, allerdings, allerdings. Oh des weisen Mannes, den man sagen lassen kann, was man will.",negative,negative,negative,neutral,6304,6331
472,Gleichgültigkeit,neutral,negative,positiv,neutral,6332,6334
473,Gleichgültigkeit an die Stelle der Liebe,neutral,negative,positiv,neutral,6336,6339
474,Das heißt nicht.,neutral,negative,positiv,negative,6340,6342
475,an die Stelle von etwas,neutral,neutral,negative,neutral,6344,6345
476,lernen Sie die,neutral,positive,negative,neutral,6346,6347
477,Sie nachplauderndes Hofmännchen lernen Sie von einem Weibe das Gleichgültigkeit.,negative,negative,positiv,neutral,6349,6355
478,ein leeres Wort,neutral,negative,positiv,neutral,6356,6357
479,ein bloßer Schall ist denn nicht,negative,negative,positiv,neutral,6359,6361
480,gar nicht entspricht,neutral,negative,negative,neutral,6363,6365
481,gleichgültig,neutral,negative,positiv,neutral,6366,6368
482,Ist die Seele nur gegen das woran sie nicht denkt?,neutral,negative,positiv,neutral,6370,6373
483,"Nur gegen ein Ding, das für sie kein Ding ist.",negative,positive,positiv,neutral,6374,6377
484,Und nur gleichgültig für ein Ding das kein Ding ist.,negative,negative,positiv,neutral,6379,6382
485,Das ist zu viel.,neutral,neutral,negative,neutral,6384,6386
486,Ist dir das zu hoch?,neutral,positive,negative,negative,6391,6392
487,Mensch,positive,neutral,positiv,negative,6394,6394
488,"O weh! wie wahr ist es, was ich fürchtete!
Was murmeln Sie da?
Lauter Bewunderung! – Und wem ist es nicht bekannt, gnädige Gräfin, daß Sie eine Philosophin sind?
Nicht wahr? – Ja, ja; ich bin eine. – Aber habe ich mir es itzt merken lassen, daß ich eine bin? – O pfui, wenn ich mir es habe merken lassen; und wenn ich mir es öfter 
habe merken lassen! Ist es wohl noch Wunder, daß mich der Prinz verachtet? Wie kann ein Mann ein Ding lieben, das, ihm zum Trotze, auch denken will? Ein Frauenzimmer, das denkt, ist eben so ekel als ein Mann, der sich schminket. Lachen soll es, nichts als lachen, um immerdar den gestrengen Herrn der Schöpfung bei guter Laune zu erhalten. – Nun, worüber lach' ich denn gleich, Marinelli? – Ach, ja wohl! Über den Zufall! daß ich dem Prinzen schreibe, er soll nach Dosalo kommen; daß der Prinz meinen Brief nicht liest, und daß er doch nach Dosalo kömmt.",positive,negative,positiv,positive,6397,6454
489,"Wahrlich ein sonderbarer Zufall! Sehr lustig, sehr närrisch! – Und Sie lachen nicht mit, Marinelli? – Mitlachen kann ja wohl der gestrenge Herr der Schöpfung, ob wir arme Geschöpfe gleich nicht mitdenken dürfen. ",positive,negative,positiv,neutral,6457,6473
490,"So lachen Sie doch!
Gleich, gnädige Gräfin, gleich!
Stockfisch! Und darüber",positive,positive,negative,neutral,6474,6484
491,Geht der Augenblick vorbei? Nein.,positive,neutral,positiv,neutral,6485,6489
492,"Nein, lachen sie nur nicht Marinelli, denn sehen Sie Marinelli, was mich so herzlich lachen macht.",negative,negative,negative,neutral,6491,6496
493,Das hat auch seine ernsthafte.,negative,positive,negative,neutral,6497,6499
494,Seite,neutral,neutral,neutral,neutral,6501,6501
495,Ernsthafte Seite wie alles in der Welt Zufall?,neutral,positive,positiv,neutral,6502,6506
496,Ein Zufall wäre es.,neutral,neutral,negative,neutral,6508,6511
497,Dass der Prinz nicht daran gedacht mich hier zu sprechen und mich doch hier sprechen muss.,neutral,negative,negative,negative,6512,6518
498,ein Zufall,neutral,neutral,positiv,neutral,6520,6520
499,Glauben Sie mir Marinelli das Wort Zufall.,neutral,neutral,positiv,neutral,6523,6525
500,"Ist Gotteslästerung nichts unter der Sonne ist Zufall am wenigsten das wovon die Absicht so klar in die auch Augen leuchtet allmächtiger eine gültige Vorsehung vergib mir, dass ich mit diesem albernen Sündern einen Zufall genannt was so offenbar dein Werk wohl kein unmittelbarer und verleiten sie mich noch einmal. So ein Frevel machen sie Marinelli.",positive,positive,negative,positive,6527,6567
501,"Machen Sie, dass ich ihn bald spreche den Prinz.",positive,positive,negative,positive,6568,6570
502,"sonst bin ich es wohl gar nicht imstande sie sehen, wir sollen uns sprechen, wir müssen",positive,negative,negative,neutral,6572,6579
503,uns sprechen,neutral,negative,negative,neutral,6580,6581
504,Da ist er.,positive,positive,positiv,neutral,6584,6588
505,"Unser schönste Gräfin wie sehr bedaure ich mal, dass ich mir die Ehre ihres Besuches für heute so wenig zunutze machen kann, ich bin beschäftigt.",neutral,positive,negative,neutral,6591,6602
506,Ich bin nicht allein ein andermal meine liebe Gräfin ein andermal.,negative,negative,negative,neutral,6604,6610
507,"Jetzt halten sie länger sich nicht auf, ja nicht länger und Sie.",negative,negative,negative,neutral,6613,6626
508,"Haben Sie jetzt gnädige Gräfin nur von ihm selbst erfahren, was Sie mir nicht glauben wollte, ich habe ich wirklich ich bin beschäftigt, ich bin nicht allein ist das die Entschuldigung ganz die ich wert bin, für mich keine einzige Lüge mehr.",negative,negative,negative,neutral,6630,6649
509,"Keine einzige kleine Lüge mehr, für mich? – Beschäftiget? womit denn? Nicht allein? wer wäre denn bei ihm? – Kommen Sie, Marinelli; aus Barmherzigkeit, lieber Marinelli! Lügen Sie mir eines auf eigene Rechnung vor. Was kostet Ihnen denn eine Lüge? – Was hat er zu tun? Wer ist bei ihm? – Sagen Sie mir; sagen sie mir, was Ihnen zuerst in den Mund kömmt, – und ich gehe. Geschwind, Marinelli; und ich gehe. – Er sagte ohnedem, der Prinz:",negative,negative,negative,neutral,6650,6682
510,"Damit er mir Wort hält, damit er keinen Vorwand hat, mir nicht Wort zu halten: geschwind, Marinelli, Ihre Lüge; und ich gehe.
Der Prinz, liebe Gräfin, ist wahrlich nicht allein. Es sind Personen bei ihm, von denen er sich keinen Augenblick abmüßigen kann; Personen, die eben einer großen Gefahr entgangen sind. Der Graf Appiani –
Wäre bei ihm? – Schade, daß ich über diese Lüge Sie ertappen muß. Geschwind eine andere. – Denn Graf Appiani",negative,negative,positiv,positive,6685,6716
511,Wenn Sie es noch nicht wissen ist eben von Räubern erschossen worden.,neutral,negative,positiv,neutral,6718,6723
512,"Der Wagen mit seinem Leichnam begegnete mir kurz vor der Stadt, oder?",neutral,negative,positiv,positive,6724,6728
513,Ist er nicht.,neutral,negative,negative,negative,6729,6730
514,"Hätte es mir bloß geträumet?
Leider nicht bloß geträumet! – Aber die andern, die mit dem Grafen waren, haben sich glücklich hierher nach dem Schlosse gerettet: seine Braut nämlich, und die Mutter der Braut, mit welchen er nach Sabionetta zu seiner feierlichen Verbindung fahren wollte.
Also die? Die sind bei dem Prinzen? die Braut? und die Mutter der Braut? – Ist die Braut schön?
Dem Prinzen geht ihr Unfall ungemein nahe.
Ich will hoffen; auch wenn sie häßlich wäre. Wer ist sie denn, diese Braut? Kenn' ich sie gar? – Ich bin so lange aus der Stadt, daß ich von nichts weiß.
Es ist Emilia Galotti.
Wer? – Emilia Galotti? Emilia Galotti? – Marinelli! daß ich diese Lüge nicht für Wahrheit nehme!
Wie so?
Emilia Galotti?
Die Sie schwerlich kennen werden –
Doch! doch! Wenn es auch nur von heute wäre. – Im Ernst, Marinelli? Emilia Galotti?",positive,negative,positiv,positive,6731,6776
515,"Emilia Galotti wäre die unglückliche Braut, die der Prinz tröstet? Bravo! o bravo! bravo! Wie das?
Küssen möcht' ich den Teufel, der ihn dazu verleitet hat!
Wen? verleitet? wozu?
Ja, küssen, küssen möcht' ich ihn – Und wenn Sie selbst dieser Teufel wären, Marinelli.
Gräfin!
Kommen Sie her! Sehen Sie mich an! steif an! Aug' in Auge!
Nun?
Wissen Sie nicht, was ich denke?
Wie kann ich das?
Haben Sie keinen Anteil daran?
Woran?
Schwören Sie! – Nein, schwören Sie nicht. Sie möchten eine Sünde mehr begehen – Oder ja; schwören Sie nur. Eine Sünde mehr oder weniger für einen, der doch verdammt ist! – Haben Sie keinen Anteil daran?
Sie erschrecken mich, Gräfin.
Gewiß? – Nun, Marinelli, argwöhnt Ihr gutes Herz auch nichts?
Was?",positive,negative,positiv,positive,6777,6833
516,wohl,neutral,neutral,positiv,neutral,6835,6836
517,"so will ich ihn etwas Vertrauen, aber hier so nah an der Türe möchte uns jemand hören kommen, sie kommen sie hierher kommt und hören Sie ganz in geheim.",neutral,positive,positiv,negative,6837,6848
518,ganz in geheim der,neutral,neutral,negative,positive,6850,6855
519,der Prinz,neutral,neutral,negative,neutral,6857,6859
520,"Ist ein Mörder ich bin selten oder nie mit meinem Verstande so wohl zufrieden gewesen als eben jetzt zuverlässig machen, aber das bleibt der Prinz ist ein Mörderr des Grafen Appiani, den haben nicht Rüber, den haben Helfershelfer des Prinzen, den hat der prinz umgebracht man sich so Hals über Kopf aus der Welt hat teollen müssen mit dieser Emilia Galotti hat der Prinz heute morgen im Kreuzgang bei den Dominikanern?",negative,positive,positiv,negative,6861,6907
521,ein langes und breites gesprochen,negative,neutral,negative,neutral,6909,6912
522,Das weiß ich.,negative,negative,negative,neutral,6913,6914
523,Das haben meine Kundschafter gesehen.,neutral,neutral,positiv,neutral,6915,6917
524,"Sie haben auch gehört, was er mit ihr gesprochen.",neutral,positive,positiv,neutral,6918,6920
525,Nun gut. Herr bin ich von Sinnen ich reime dächte ich doch noch ziemlich zusammen was zusammen gehört oder trifft auch das nur so von ungefähr zu ist ihnen auch das.,neutral,positive,positiv,positive,6922,6933
526,Zufall Gräfin,neutral,neutral,positiv,neutral,6934,6937
527,"sie würden sich um den Hals reden, wenn ich das",negative,neutral,negative,neutral,6939,6942
528,"Desto besser, desto besser! – Morgen will ich es auf dem Markte ausrufen. – Und wer mir widerspricht – wer mir widerspricht, der war des Mörders Spießgeselle. – Leben Sie wohl. Verzeihen Sie, gnädige Frau –
Ich habe hier nichts zu verzeihen. Denn ich habe hier nichts übel zu nehmen – An diesen Herrn wenden Sie sich. Nun vollends! der Alte! –
Vergeben Sie, mein Herr, einem Vater, der in der 
äußersten Bestürzung ist, – daß er so unangemeldet hereintritt.
Vater?  Ha, willkommen!
Ein Bedienter kam mir entgegen gesprengt, mit der Nachricht, daß hierherum die Meinigen in Gefahr wären. Ich fliege herzu, und höre, daß der Graf Appiani verwundet worden; daß er nach der Stadt zurückgekehret; daß meine Frau und Tochter sich in das Schloß gerettet.",negative,negative,positiv,positive,6945,6997
529,"und Ihrer Tochter ist nichts Übles widerfahren; den Schreck ausgenommen. Sie befinden sich beide wohl. Der Prinz ist bei ihnen. Ich gehe sogleich, Sie zu melden.
Warum melden? erst melden?",positive,negative,negative,neutral,7005,7018
530,"von wegen – Von wegen des Prinzen. Sie wissen, Herr Oberster, wie Sie mit dem Prinzen stehen. Nicht auf dem freundschaftlichsten Fuße. So gnädig er sich gegen Ihre Gemahlin und Tochter bezeiget: – es sind Damen – Wird darum auch Ihr unvermuteter Anblick ihm gelegen sein?
Sie haben Recht, mein Herr; Sie haben Recht.
Aber, gnädige Gräfin, – kann ich vorher die Ehre haben, Sie nach Ihrem Wagen zu begleiten?
Nicht doch, nicht doch.
Erlauben Sie, daß ich meine Schuldigkeit beobachte. –
Nur gemach! – Ich erlasse Sie deren, mein Herr. – Daß doch immer Ihres gleichen Höflichkeit zur Schuldigkeit machen; um was eigentlich ihre Schuldigkeit wäre, als die Nebensache betreiben zu dürfen! – Diesen würdigen Mann je eher je lieber zu melden, das ist Ihre Schuldigkeit.
Vergessen Sie, was Ihnen der Prinz selbst befohlen?
Er komme, und befehle es mir noch einmal.",positive,negative,positiv,negative,7020,7074
531,"Mein Herr, ich muß Sie hier mit einer Dame lassen, die – der – mit deren Verstande – Sie verstehen mich. Ich sage Ihnen 
dieses, damit Sie wissen, was Sie auf ihre Reden zu geben haben, – deren sie oft sehr seltsame führet. Am besten, Sie lassen sich mit ihr nicht ins Wort.
Recht wohl. – Eilen Sie nur, mein Herr.
Was er Ihnen auch da gesagt hat,",neutral,positive,negative,neutral,7078,7136
532,Eine Wahrheit war es gewiss nicht.,neutral,negative,negative,neutral,7138,7141
533,Am wenigsten eine von denen die auf sie warten.,neutral,positive,positiv,neutral,7144,7148
534,Auf mich warten.,negative,positive,neutral,neutral,7150,7151
535,"Weiß ich nicht schon genug? – Madame! – Aber, reden Sie nur, reden Sie nur.
Sie wissen nichts.
Nichts?",negative,negative,negative,neutral,7152,7161
536,"Guter lieber Vater, was gäbe ich darum, wenn sie auch mein Vater wären oh verzeihen sie die Unglücklichen ketten sich so gern aneinander.",positive,positive,positiv,neutral,7169,7181
537,Ich wollte treulich Schmerz und Wut mit Ihnen teilen.,positive,negative,negative,neutral,7182,7188
538,Und wenn es gar ihre einzige Tochter ihr einziges Kind wäre.,neutral,negative,negative,neutral,7194,7203
539,Wär einzig oder nicht? Das unglückliche Kind ist immer das einzige.,negative,negative,negative,neutral,7204,7208
540,"Aber Gott, so sprich keinen Wahnwitz.",negative,neutral,negative,neutral,7218,7220
541,wahnwitzig,neutral,neutral,negative,neutral,7221,7222
542,"Das war's. Also, was er ihnen von mir vertraute nun nun es mag gleich keine von seinen größten Lügen sein, ich fühle sowas.",neutral,positive,negative,neutral,7223,7234
543,Und glauben Sie glauben Sie mir?,neutral,neutral,negative,neutral,7236,7238
544,Wer bei gewisse Dinge den Verstand nicht verliert.,neutral,negative,negative,neutral,7239,7242
545,"Der hat keinen zu verlieren, auch sie haben Verstand auch Sie.",neutral,negative,negative,positive,7244,7249
546,Und es kostet mich ein Wort.,negative,neutral,negative,positive,7251,7253
547,so haben Sie kein,neutral,neutral,positiv,negative,7254,7255
548,"Ich habe schon keinen mehr, noch ehe Sie mir dieses Wort sagen, wenn Sie mir es nicht bald sagen. – So merken Sie auf! – Was wissen Sie, der Sie schon genug wissen wollen? Daß Appiani verwundet worden? Nur verwundet? – Appiani ist tot!  Der Bräutigam ist tot: und die Braut – Ihre Tochter. Auch tot? Nein, sie lebt.",negative,negative,positiv,neutral,7257,7275
549,"Sie wird nun erst recht anfangen zu leben, ein Leben voll Wonne das schönste lustigste Schlaraffen-Leben, solange das eben das einzige wollte mich um den Verstand bringen.",negative,negative,positiv,neutral,7277,7292
550,des nachmittags hat er sie auf seinem Lustschloss.,positive,positive,positiv,neutral,7303,7308
551,"Sprach sie in der Messe? Der Prinz meine Tochter?
Mit einer Vertraulichkeit! mit einer Inbrunst! – Sie hatten nichts Kleines abzureden. Und recht gut, wenn es abgeredet worden; recht gut, wenn Ihre Tochter freiwillig sich hierher gerettet! Sehen Sie: so ist es doch keine gewaltsame Entführung; sondern bloß ein kleiner – kleiner Meuchel",negative,negative,positiv,positive,7311,7336
552,verdammte Verleumdung. Ich kenne meine Tochter.,negative,negative,negative,neutral,7339,7340
553,"Ist es Meuchelmord: so ist es auch Entführung. –  Nun, Claudia? Nun, Mütterchen? – Haben wir nicht Freude erlebt! O des gnädigen Prinzen! O der ganz besondern Ehre! Wunder, daß ich aus Eilfertigkeit nicht auch die Hände zurück gelassen! Nichts! gar nichts! nirgends! Damit kann ich aushelfen! Da nehmen Sie! Nehmen Sie geschwind, eh uns jemand sieht. – Auch hätte ich noch etwas, – Gift. Aber Gift ist nur für uns Weiber; nicht für Männer. – Nehmen Sie ihn! Stecken Sie bei Seite! geschwind bei Seite! – Mir wird die Gelegenheit versagt, Gebrauch davon zu machen. Ihnen wird sie nicht fehlen, diese Gelegenheit: und Sie werden sie ergreifen, die erste, die beste, – wenn Sie ein Mann sind.",negative,negative,negative,negative,7342,7394
554,"ich bin ein Weib, aber",neutral,neutral,negative,neutral,7398,7400
555,so kam ich her,negative,neutral,negative,neutral,7403,7404
556,"nein, wir können das alles Vertrauen, wenn wir sind beide beleidigt von dem nämlichen Verführer beleidigt, wenn sie wüssten, wenn sie wüssten, wie überschwänglich wie unaussprechlich.",positive,negative,positiv,neutral,7411,7428
557,Wie unbegreiflich von ihm beleidigt worden und noch werde.,negative,negative,negative,neutral,7430,7434
558,die könnten,neutral,neutral,negative,neutral,7436,7436
559,sie würden ihre eigene Beleidigung darüber verkennen kennen sie mich ich bin Orsina die Betrogene verlassene Orsina zwar vielleicht nur um ihre Tochter verlassen. Doch was kann ihre Tochter dafür?,negative,negative,negative,neutral,7437,7452
560,Bald wird doch sie verlassen sein und dann wieder eine wieder eine und wieder eine.,negative,neutral,positiv,neutral,7454,7460
561,welch eine himmlische,negative,positive,positiv,neutral,7462,7465
562,wenn wir einmal alle,negative,negative,negative,neutral,7468,7470
563,wir das ganze Heer der verlassenen wir alle in Bach Hand gehen hinein in Furien.,negative,negative,negative,negative,7471,7477
564,Wenn wir alle in unter uns hätten.,negative,negative,positiv,negative,7479,7482
565,In unter uns zerrissen zerfleischten sein Eingeweide durchwühlen um das Herz zu finden.,negative,negative,negative,neutral,7483,7494
566,"Was soll ich dir sagen, wenn du noch nichts weißt? – Was soll ich dir sagen, wenn du schon alles weißt? – Aber wir sind unschuldig. Ich bin unschuldig. Deine Tochter ist unschuldig. Unschuldig, in allem unschuldig!
Gut, gut. Sei nur ruhig, nur ruhig, – und antworte",negative,positive,positiv,neutral,7512,7528
567,"Nicht war damals, ob ich noch zweifelte ist der Graf heute morgen Emilien in der Messe gesprochen, aber wenn du es nicht weil er nicht vorbei.",negative,negative,positiv,negative,7531,7563
568,Ihre ersten Eindrücke nie möchte ich aber nach der geringsten Überlegung.,neutral,negative,positiv,neutral,7566,7570
569,"Alles sich finden darf alles gefasst machen, dass wir wegkommen.",neutral,negative,positiv,neutral,7571,7576
570,"Was zu tun? – Doch, Madame, Sie fahren ja nach der Stadt zurück?
Nicht anders.
Hätten Sie wohl die Gewogenheit, meine Frau mit sich zu nehmen?
Warum nicht? Sehr gern.
Claudia, die Gräfin Orsina.",positive,negative,positiv,neutral,7579,7592
571,"eine Dame von großem Verstande; meine Freundin, meine Wohltäterin. – Du mußt mit ihr herein; um uns sogleich den Wagen heraus zu schicken. Emilia darf nicht wieder nach Guastalla. Sie soll mit mir.
Aber – wenn nur – Ich trenne mich ungern von dem Kinde.
Bleibt der Vater nicht in der Nähe?",neutral,negative,negative,neutral,7593,7611
572,Sie werden von mir hören.,neutral,neutral,neutral,neutral,7619,7620
573,Hier können Sie ihn sehen. Er geht die Arkadie auf und nieder.,neutral,positive,negative,neutral,7674,7679
574,eben biegt er ein,neutral,positive,negative,neutral,7680,7682
575,"Er kommt. Nein, er kehrt wieder um.",neutral,positive,negative,neutral,7683,7685
576,So ganz einig ist er mit sich noch nicht.,neutral,negative,negative,neutral,7686,7690
577,Aber um ein großes ruhig ist er oder scheint er für uns gleich.,neutral,positive,negative,neutral,7691,7697
578,"Natürlich! Was ihm auch beide Weiber in den Kopf gesetzt haben, wird er es wagen zu äußern? Wenn er nun aber so zahm nicht ist? Und schwerlich, schwerlich wird er es sein. Ich kenne ihn zu gut. – Wenn er höchstens seinen Argwohn erstickt, seine Wut verbeißt: aber Emilien, anstatt sie nach der Stadt zu fahren, mit sich nimmt? bei sich behält? oder wohl gar in ein Kloster, außer meinem Gebiete, verschließt? Wie dann?",negative,negative,negative,negative,7699,7721
579,Was wird es uns dann helfen?,neutral,positive,negative,neutral,7727,7729
580,Dass der unglückliche Graf sein Leben.,negative,negative,negative,negative,7730,7733
581,"Geben Sie Acht, wenn er nun vor Ihnen erscheinet, wird er ganz untertänigst Eurer Durchlaucht für den gnädigen Schutz danken, den seine Familie bei diesem so traurigen Zufalle hier gefunden; wird sich, mit samt seiner Tochter, zu fernerer Gnade empfehlen; wird sie ruhig nach der Stadt bringen,",neutral,positive,negative,neutral,7739,7755
582,"und es in tiefster Unterwerfung erwarten, welchen weitern Anteil Euer Durchlaucht an seinem unglücklichen, lieben Mädchen zu nehmen geruhen wollen.",positive,negative,negative,neutral,7757,7765
583,"mein lieber, rechtschaffner Galotti, – so etwas muß auch geschehen, wenn ich Sie bei mir sehen soll. Um ein geringeres tun Sie es nicht. Doch keine Vorwürfe!
Gnädiger Herr, ich halte es in allen Fällen für unanständig, 
sich zu seinem Fürsten zu drängen. Wen er kennt, den wird er fodern lassen, wenn er seiner bedarf. Selbst jetzt bitte ich um Verzeihung –
Wie manchem andern wollte ich diese stolze Bescheidenheit wünschen!",neutral,negative,negative,negative,7774,7802
584,"Ich wartete nur, daß die liebenswürdige Emilie sich völlig erholet hätte, um beide im Triumphe nach der Stadt zu bringen. Sie haben mir diesen Triumph um die Hälfte verkümmert; aber ganz werde ich mir ihn nicht nehmen lassen.
Zu viel Gnade! – Erlauben Sie, Prinz, daß ich meinem unglücklichen Kinde alle die mannichfaltigen Kränkungen erspare, die Freund und Feind, Mitleid und Schadenfreude in Guastalla für sie bereit halten.",positive,negative,negative,neutral,7804,7832
585,"Um die süßen Kränkungen des Freundes und des Mitleids, würde es Grausamkeit sein, sie zu bringen. Daß aber die Kränkungen des Feindes und der Schadenfreude sie nicht erreichen sollen; dafür, lieber Galotti, lassen Sie mich sorgen.
Prinz, die väterliche Liebe teilet ihre Sorgen nicht gern. – ",neutral,negative,negative,negative,7834,7849
586,"Sie soll nicht mehr nach Guastalla.
Nicht? und warum nicht?
Der Graf ist tot.
Um so viel mehr –
Sie soll mit mir.
Mit Ihnen?
Mit mir. Ich sage Ihnen ja, der Graf ist tot. – Wenn Sie es noch nicht wissen – Was hat sie nun weiter in Guastalla",negative,negative,positiv,neutral,7850,7865
587,"ich denke, ich weiß es was meiner Tochter",neutral,negative,negative,neutral,7867,7868
588,so viel Schönheit.,positive,positive,neutral,neutral,7879,7881
589,Soll in Abgeschiedenheit verblühen?,negative,neutral,neutral,neutral,7883,7885
590,Darf uns den eine einzige fehlgeschlagen Hoffnung gegen die Welt so unversöhnlich?,negative,positive,positiv,negative,7887,7893
591,doch allerdings,neutral,neutral,neutral,negative,7897,7898
592,dem Vater,neutral,neutral,neutral,negative,7899,7900
593,hat niemand einzureden bringen sie ihre Tochter.,neutral,negative,negative,negative,7901,7905
594,Galotti,neutral,neutral,neutral,negative,7907,7908
595,Wohin Sie wollen! es geht mir nahe.,negative,positive,positiv,neutral,7913,7916
596,"der Gnade meines Fürsten in den Weg zu treten. Doch wenn die Freundschaft gebietet, vor allem in ihm den Richter aufzufodern –
Welche Freundschaft? –
Sie wissen, gnädiger Herr, wie sehr ich den Grafen Appiani liebte; wie sehr unser beider Seelen in einander verwebt schienen –
Das wissen Sie, Prinz? So wissen Sie es wahrlich allein.",positive,positive,negative,neutral,7917,7935
597,"Marinelli, der Name Marinelli war das letzte Wort des sterbenden Grafen: und in einem Tone! in einem Tone! – Daß er mir nie aus dem Gehöre komme dieser schreckliche Ton, wenn ich nicht alles anwende, daß seine Mörder entdeckt und bestraft werden!",positive,negative,negative,neutral,7940,7958
598,Rechnen Sie auf meine kräftigste Mitwirkung und nein.,positive,positive,negative,neutral,7960,7964
599,"Aber was weiter, das frag ich.",negative,positive,negative,neutral,7968,7970
600,"Man hat Verdacht, daß es nicht Räuber gewesen, welche den Grafen angefallen.
Nicht? wirklich nicht?
Daß ein Nebenbuhler ihn aus dem Wege räumen lassen.
Ei! ein Nebenbuhler?
Nicht anders. Ein Nebenbuhler, und ein begünstigter Nebenbuhler –
Was? ein begünstigter? – Was sagen Sie?
Nichts' als was das Gerüchte verbreitet.
Ein begünstigter? von meiner Tochter begünstiget?
Das ist gewiß nicht. Das kann nicht sein. Dem widersprech' ich, trotz Ihnen. – Aber bei dem allen, gnädiger Herr, – Denn das gegründetste Vorurteil wieget auf der 
Waage der Gerechtigkeit so viel als nichts – bei dem allen wird man doch nicht umhin können, die schöne Unglückliche darüber zu vernehmen.",negative,negative,negative,negative,7975,8011
601,"Ja, wo allerdings woanders wo kann das anders geschehen als in Cuastalla?",neutral,neutral,negative,neutral,8012,8019
602,Da haben sie recht marinelli da haben sie recht.,neutral,negative,negative,neutral,8020,8024
603,hier,neutral,neutral,neutral,neutral,8026,8026
604,so,neutral,neutral,neutral,neutral,8028,8028
605,Das verändert die Sache lieber Galotti.,neutral,positive,neutral,neutral,8029,8031
606,"Ich sehe, was ich sehe.",positive,neutral,negative,neutral,8036,8037
607,"Gott!
Was ist Ihnen? was haben Sie mit sich?
Daß ich es nicht vorausgesehen, was ich da sehe. Das ärgert mich: weiter nichts. – Nun ja; sie soll wieder nach Guastalla. Ich will sie wieder zu ihrer Mutter bringen: und bis die strengste Untersuchung sie frei gesprochen, will ich selbst aus Guastalla nicht weichen. Denn wer weiß, – wer weiß, ob die Gerechtigkeit nicht auch nötig findet, mich zu vernehmen.
Sehr möglich! In solchen Fällen tut die Gerechtigkeit lieber zu viel, als zu wenig. – Daher fürchte ich sogar –
Was? was fürchten Sie?
Man werde vor der Hand nicht verstatten können, daß Mutter und Tochter sich sprechen.",positive,negative,negative,negative,8041,8079
608,"Sich nicht spreche. Ja, man werde genötigt sein Mutter und Tochter zu trennen.",negative,negative,negative,neutral,8080,8085
609,"Mutter und Tochter zu trennen, der Mutter und Tochter und Vater",negative,negative,negative,neutral,8087,8091
610,"Die Form des Verhörs erfodert diese Vorsichtigkeit schlechterdings. Und es tut mir leid, daß ich mich gezwungen sehe, ausdrücklich darauf anzutragen, wenigstens Emilien in eine besondere Verwahrung zu bringen.",neutral,negative,negative,negative,8093,8105
611,"Prinz? nicht? – O wie fein die Gerechtigkeit ist! Vortrefflich! Fassen Sie sich, lieber Galotti –
Das sprach sein Engel!
Sie sind irrig; Sie verstehen ihn nicht. Sie denken bei dem Worte Verwahrung, wohl gar an Gefängnis und Kerker.
Lassen Sie mich daran denken: und ich bin ruhig!
Kein Wort von Gefängnis, Marinelli! Wenn Emilia in besondere Verwahrung gebracht werden muß: so weiß ich schon – die alleranständigste. Das Haus meines Kanzlers – Keinen Widerspruch, Marinelli! – Da will ich sie selbst hinbringen, da will ich sie der Aufsicht einer der würdigsten Damen übergeben. Die soll mir für sie bürgen, haften. – Sie gehen zu weit, Marinelli, wirklich zu weit, wenn Sie mehr verlangen. – Sie kennen doch, Galotti, meinen Kanzler Grimaldi, und seine Gemahlin?
Was sollt' ich nicht? Sogar die liebenswürdigen Töchter dieses edeln Paares kenn' ich. Wer kennt sie nicht?  Ja wohl hat sie Recht die gute Sibylle: Wer über gewisse Dinge seinen Verstand nicht verlieret, der hat keinen zu verlieren!",positive,negative,positiv,positive,8115,8175
612,"Lieber Galotti, was kann ich mehr tun? – Lassen Sie es dabei: ich bitte Sie. – Ja, ja, in das Haus meines Kanzlers! da soll sie hin; da bring' ich sie selbst hin; und wenn ihr da nicht mit der äußersten Achtung begegnet wird, so hat mein Wort nichts gegolten. – Dabei bleibt es! dabei bleibt es! – Sie selbst, Galotti, mit sich, können es halten, wie Sie wollen. Sie können uns nach Guastalla folgen; Sie können nach Sabionetta zurückkehren: wie Sie wollen. Es wäre lächerlich, Ihnen vorzuschreiben. – Und nun, auf Wiedersehen, lieber Galotti! – Kommen Sie, Marinelli: es wird spät.
Wie? so soll ich sie gar nicht sprechen meine Tochter? Auch hier nicht? – Ich lasse mir ja alles gefallen; ich finde ja alles ganz vortrefflich. Das Haus eines Kanzlers ist natürlicher Weise eine Freistatt der Tugend.",positive,negative,positiv,positive,8175,8228
613,"Der Tod des Grafen ist ihr noch unbekannt. Sie wird nicht begreifen können, warum man sie von ihren Eltern trennt. Ihr jenen auf gute Art beizubringen; sie dieser Trennung wegen zu beruhigen; – muß ich sie sprechen, gnädiger Herr, muß ich sie sprechen. Unter vier Augen bin ich gleich mit ihr fertig bin.",positive,negative,positiv,neutral,8235,8251
614,Wer lacht da,negative,positive,negative,neutral,8276,8276
615,spiel geht zu Ende so oder so.,negative,negative,negative,neutral,8283,8285
